"","y","type"
"carbaryl","1","insecticide"
"chlorpyrifos","5","insecticide"
"cypermethrine","5","insecticide"
"DDD(2-4)","1","insecticide"
"dicofol","5","insecticide"
"dieldrin","2","insecticide"
"isodrin","2","insecticide"
"lindane","5","insecticide"
"methomyl","1","insecticide"
"tebufenozide","5","insecticide"
"alphaEndosulfan","2","insecticide"
"aluminium","3","metal"
"cobalt","3","metal"
"copper","3","metal"
"mercury","3","metal"
"zinc","3","metal"
"1-chlorodecane","1","other"
"2A1","1","other"
"4-octylphenol","1","other"
"A736","4","other"
"biphenyl","1","other"
"H40","5","other"
"L1000","1","other"
"PiperonylButoxide","5","other"
"chlorothalonil","1","other pesticide"
"pentachlorophenol","1","other pesticide"
"quinoxyfen","5","other pesticide"
"trifluralin","5","other pesticide"
"anthracene","1","PAH"
"benzo(a)pyrene","1","PAH"
"ibuprofen","1","PPCP"
"verapamil","5","PPCP"
"1-2Dichloroethane","1","solvent"
"124-Trichlorobenzene","1","solvent"
"acetone","1","solvent"
"acrylic acid","1","solvent"
"benzene","1","solvent"
"hydrazine","1","solvent"
"nitric acid","1","solvent"
"tetrachloroethylene","1","solvent"
"123-trichlorobenzene","1","solvent"
"trichloroethylene","1","solvent"
