"","y","type"
"carbaryl","2","insecticide"
"chlorpyrifos","2","insecticide"
"cypermethrine","2","insecticide"
"DDD(2-4)","2","insecticide"
"dicofol","2","insecticide"
"dieldrin","3","insecticide"
"isodrin","3","insecticide"
"lindane","2","insecticide"
"methomyl","1","insecticide"
"tebufenozide","2","insecticide"
"alphaEndosulfan","3","insecticide"
"1-chlorodecane","1","other"
"2A1","1","other"
"4-octylphenol","2","other"
"A736","4","other"
"biphenyl","1","other"
"H40","2","other"
"L1000","1","other"
"PiperonylButoxide","5","other"
"chlorothalonil","1","other pesticide"
"pentachlorophenol","1","other pesticide"
"quinoxyfen","2","other pesticide"
"trifluralin","5","other pesticide"
"anthracene","2","PAH"
"benzo(a)pyrene","2","PAH"
"ibuprofen","2","PPCP"
"verapamil","5","PPCP"
"1-2Dichloroethane","1","solvent"
"124-Trichlorobenzene","1","solvent"
"acetone","1","solvent"
"acrylic acid","1","solvent"
"benzene","1","solvent"
"hydrazine","1","solvent"
"nitric acid","1","solvent"
"tetrachloroethylene","1","solvent"
"123-trichlorobenzene","1","solvent"
"trichloroethylene","1","solvent"
"aluminium","6","metal"
"cobalt","6","metal"
"copper","6","metal"
"mercury","6","metal"
"zinc","6","metal"
