name;substance_type;CAS_nb;SMILES;detected
carbaryl;insecticide;63-25-2;CNC(=O)OC1=CC=CC2=CC=CC=C21;1
chlorpyrifos;insecticide;2921-88-2;CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl;1
cypermethrine;insecticide;52315-07-8;CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C;1
DDD(2-4);insecticide;72-54-8;C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl;1
dicofol;insecticide;115-32-2;C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)(C(Cl)(Cl)Cl)O)Cl;1
dieldrin;insecticide;60-57-1;C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@]5(C(=C([C@@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl;1
isodrin;insecticide;465-73-6;C1[C@@H]2C=C[C@H]1[C@@H]3[C@H]2[C@@]4(C(=C([C@]3(C4(Cl)Cl)Cl)Cl)Cl)Cl;1
lindane;insecticide;06/09/8065;CNC(=O)OC1=CC=CC2=CC=CC=C21.C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl;1
methomyl;insecticide;16752-77-5;CC(=NOC(=O)NC)SC;1
tebufenozide;insecticide;112410-23-8;CCC1=CC=C(C=C1)C(=O)NN(C(=O)C2=CC(=CC(=C2)C)C)C(C)(C)C;1
alphaEndosulfan;insecticide;959-98-8;C1[C@@H]2[C@H](COS(=O)O1)[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl;1
betaEndosulfan;insecticide;33213-65-9;C1[C@@H]2[C@H](COS(=O)O1)[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl;1
aluminium;metal;7429-90-5;[Al];1
cobalt;metal;7440-48-4;[Co];1
copper;metal;7440-50-8;[Cu];1
mercury;metal;7439-97-6;[Hg];1
zinc;metal;7733-02-0;[O-]S(=O)(=O)[O-].[Zn+2];1
1-chlorodecane;other;1002-69-3;CCCCCCCCCCCl;1
2A1;other;03/11/2749;C[C@@H](CO)N;1
4-octylphenol;other;1806-26-4;CCCCCCCCC1=CC=C(C=C1)O;1
