name,substance_type,SMILES,detected,molecule,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216
carbaryl,insecticide,CNC(=O)OC1=CC=CC2=CC=CC=C21,1,<rdkit.Chem.rdchem.Mol object at 0x15b6476f0>,11.091562263794406,11.091562263794406,0.45245086923658273,-0.45245086923658273,0.7695670306859667,9.933333333333334,201.225,190.13699999999997,201.078978592,76,0,0.4118597328988006,-0.4096970676079811,0.4118597328988006,0.4096970676079811,1.1333333333333333,1.8666666666666667,2.6666666666666665,16.550051211511672,10.112552782110447,2.042720588927014,-2.058962003481236,2.2442648453675855,-2.2158186695042463,5.8961032394140656,0.2032804504377142,2.2925951390532595,2.464953756163773,488.45103080120384,10.673362107437434,8.35794846525511,8.35794846525511,7.308861750289881,4.683739640741714,4.683739640741714,3.116804193004947,3.116804193004947,2.1564108306777956,2.1564108306777956,1.4355892694739252,1.4355892694739252,-2.0299999999999994,3599.3743683136177,9.522159782005515,4.002881593971449,1.9083032165631202,87.66788139318408,10.05365155780638,5.749511833283905,0.0,0.0,0.0,6.093240070938415,0.0,4.794537184071822,0.0,0.0,36.39820241076966,11.452591282926406,12.433896197141985,0.0,9.53140013787187,16.865688499868007,0.0,5.316788604006331,0.0,0.0,7.04767198267719,42.46456947923127,0.0,5.749511833283905,10.05365155780638,4.794537184071822,5.749511833283905,0.0,13.140912053615605,0.0,0.0,0.0,42.46456947923127,0.0,10.772448428929591,0.0,38.33,6.093240070938415,4.794537184071822,0.0,0.0,5.749511833283905,10.772448428929591,7.04767198267719,6.06636706846161,36.39820241076966,5.316788604006331,4.736862953800049,5.126759259259259,0.0,11.091562263794406,4.40541832010582,0.0,0.5763425925925927,13.383852749433105,-0.45245086923658273,0.0,1.535182350718065,0.08333333333333333,15,1,3,0,0,0,1,2,0,2,0,0,2,1,3,0,1,0,0,0,0,0,2.5410718750830044,2,2.5580000000000007,59.03170000000003,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chlorpyrifos,insecticide,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,1,<rdkit.Chem.rdchem.Mol object at 0x15b644ac0>,5.9376562106324,5.9376562106324,0.05212962962963008,-2.918478835978836,0.5483413192652408,11.61111111111111,350.5909999999999,339.50299999999993,348.926283882,102,0,0.38135594339529894,-0.4039620319976707,0.4039620319976707,0.38135594339529894,1.1666666666666667,1.7222222222222223,2.2222222222222223,35.499020362158454,10.47071059374657,2.2375191427954966,-2.2046412124013015,2.5053399141023007,-2.0321987852346157,8.0729787332724,0.21580460328220627,2.261184336373165,3.006125183376143,464.61623687665036,13.759148545064338,9.65287760344577,13.63158821342878,8.414832660707777,5.017495294338299,8.707427315056757,2.922028581870719,7.029481865631415,1.6272346318388393,4.972432894378645,1.0046270716835448,3.5945294102959977,0.38999999999999985,6946.358281338363,16.44437737901033,7.246563253264823,4.494247868158743,125.74118203040851,4.5237471617118175,5.022633313741326,5.153109816892792,5.879988336435371,0.0,6.718607232363179,9.047494323423635,0.0,4.983978520947208,0.0,34.802819670697545,19.913841467842857,11.806856088638648,18.23639724276716,13.571241485135452,53.328282991699375,0.0,4.983978520947208,0.0,13.847474399381248,13.213763929025836,21.264743512837054,0.0,5.879988336435371,4.5237471617118175,0.0,5.879988336435371,41.52142690306073,18.197742449973042,20.85435041206228,0.0,13.847474399381248,6.06636706846161,15.198376444375445,0.0,0.0,40.58,6.718607232363179,0.0,0.0,21.078364780810816,13.213763929025836,0.0,6.06636706846161,13.847474399381248,0.0,4.983978520947208,60.18091724447165,16.056113473167045,22.67465017076789,3.9021974993701183,0.49887303686907014,0.0,0.05212962962963008,1.421966805240615,0.0,1.3662916071778506,0.0,0.4444444444444444,18,0,4,0,0,0,0,0,1,1,0,0,5,0,9,1,6,0,0,0,0,0,6.620290046530865,1,4.718100000000002,77.43200000000002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cypermethrine,insecticide,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,1,<rdkit.Chem.rdchem.Mol object at 0x15b646180>,12.611418379883837,12.611418379883837,0.113804497419286,-1.0284014655244815,0.528046798102563,20.392857142857142,416.30400000000003,397.152,415.074198828,144,0,0.3112852422470833,-0.45737081541460906,0.45737081541460906,0.3112852422470833,1.1428571428571428,1.8214285714285714,2.4642857142857144,35.53908973147812,10.08891601780199,2.6152215765726248,-2.1332963726366696,2.5999296786815265,-2.1422365528792984,6.554401659899356,-0.1490798940492189,3.195228205986146,1.721481494739987,930.2980937199306,20.311190308942127,15.43344091237514,16.94529880441205,13.323735633975273,8.78453839388687,9.540467339905325,7.214765173188115,8.222629525088673,4.961172443444766,5.21314875878425,3.2987824841352333,3.5702492352956376,-2.4799999999999986,2171247.0323573537,20.25931432531098,8.261449020580432,4.49388941398866,173.83020897810323,9.473725907600098,22.05971315351801,0.0,6.103966387748303,0.0,5.9693052879518484,4.794537184071822,0.0,5.261891554738487,0.0,67.38118952215433,41.67438489623849,5.563451491696996,5.917906046161393,14.268263091671919,29.171185068416882,5.261891554738487,0.0,17.250802561719567,19.95144078712955,0.0,70.7282433888433,0.0,17.568244979360085,4.736862953800049,0.0,11.49902366656781,23.20187978046503,5.9693052879518484,9.53140013787187,28.581915429250326,25.514892278826547,65.1647918971463,0.0,0.0,0.0,59.32000000000001,12.073271675700152,10.056428738810308,0.0,21.742270735877497,17.062475158264807,0.0,0.0,30.34148838068032,50.248531054481575,0.0,32.67560568806513,11.397899512505774,11.462066063019403,12.611418379883837,9.530405787327686,0.23139462012601708,0.2892627430591366,18.293881632746352,0.6151906779955121,3.8740361388918387,0.0,0.2727272727272727,28,0,4,1,0,1,0,2,0,2,3,0,4,0,6,0,6,1,0,1,0,3,5.977546160373983,3,6.177980000000003,107.95400000000005,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDD(2-4),insecticide,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,1,<rdkit.Chem.rdchem.Mol object at 0x15b644660>,6.0918720080624835,6.0918720080624835,0.09456790123456793,-0.5348601662887378,0.6150214671313038,11.222222222222221,320.04599999999994,309.966,317.95366104,94,0,0.11822313058451664,-0.1043364023454487,0.11822313058451664,0.1043364023454487,0.6111111111111112,0.9444444444444444,1.2222222222222223,35.539279951338116,9.927788407359307,2.207679507771397,-2.188192278242921,2.338872849574731,-2.084635227576267,6.446098788801404,0.8868649639057902,2.339274363032339,2.394110502884274,456.8221302041951,13.120955864630137,9.285360583933167,12.30907636800699,8.575387400469408,5.367818266096009,6.996618773058433,3.915228272993108,5.951881343689907,2.710220015184639,3.718125276542579,1.823640237744887,2.6575309270470204,-0.3999999999999995,12051.94151834261,14.018545496589201,6.164208984375,3.330091331517386,126.43144646188087,0.0,4.836269690250055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.20187978046503,47.46734805431147,35.392371257240434,15.963172673644046,0.0,0.0,46.40375956093006,0.0,0.0,0.0,10.754175736411447,0.0,69.70310615856953,0.0,0.0,0.0,0.0,0.0,46.40375956093006,4.836269690250055,0.0,0.0,17.044809029555385,48.53093654769288,10.045266627482652,0.0,0.0,0.0,4.836269690250055,0.0,0.0,5.917906046161393,10.045266627482652,11.126902983393991,0.0,0.0,48.53093654769288,0.0,46.40375956093006,0.0,23.942352047815007,-0.5348601662887378,1.3783352229780808,2.049486016628874,-0.09456790123456793,15.037032557879119,0.0,0.0,0.0,0.14285714285714285,18,0,0,0,0,0,0,2,0,2,0,0,0,0,4,0,3,0,0,0,0,0,4.8007357832191575,2,5.929000000000001,80.24100000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dicofol,insecticide,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)(C(Cl)(Cl)Cl)O)Cl,1,<rdkit.Chem.rdchem.Mol object at 0x15b6477d0>,10.990245653817082,10.990245653817082,0.4205763416477706,-1.9636318972033253,0.6824161965725927,12.5,370.49,361.418,367.909603308,106,0,0.22658727166145695,-0.37583939778535813,0.37583939778535813,0.22658727166145695,0.65,0.95,1.2,35.582600580623456,9.874227861219472,2.4944786897252405,-2.3529329935763594,2.4886535347109096,-2.4059287575292783,6.6812929361664795,0.08498862604578244,2.3796126068069703,2.622374710790276,540.9564823741972,14.966255326250886,9.9558381140631,13.735482844155378,9.248037131279782,5.561252390364884,7.451074755411023,4.221955315329213,7.376059300072742,2.934238992828637,4.258684609440006,1.8761752598723573,2.782805245919819,-0.14999999999999952,23186.94524072712,16.224491773487685,5.920643642072214,3.0370637568559187,141.52894644095855,5.106527394840706,0.0,5.601050810983688,3.7925359355297714,0.0,0.0,0.0,0.0,0.0,0.0,82.27016772500902,35.392371257240434,10.045266627482652,0.0,5.106527394840706,58.00469945116258,0.0,0.0,0.0,9.39358674651346,0.0,69.70310615856953,0.0,0.0,0.0,0.0,0.0,58.00469945116258,8.899063330370478,5.601050810983688,0.0,11.126902983393991,48.53093654769288,10.045266627482652,0.0,0.0,20.23,9.39358674651346,5.106527394840706,0.0,0.0,21.172169610876644,0.0,0.0,48.53093654769288,0.0,0.0,58.00469945116258,-1.9636318972033253,29.701268651493514,0.0,12.039363189720333,-0.9715016376921131,0.0,12.916723915903813,0.0,0.0,0.0,0.14285714285714285,20,1,1,0,0,0,0,2,0,2,0,0,1,1,6,0,2,0,0,0,0,0,4.80297170322764,2,5.599500000000001,86.19280000000002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dieldrin,insecticide,C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@]5(C(=C([C@@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,1,<rdkit.Chem.rdchem.Mol object at 0x15b6468f0>,6.824158950617283,6.824158950617283,0.04668209876543172,-1.3746913580246911,0.3426777863228232,66.63157894736842,380.9129999999999,372.84899999999993,377.87063095599996,104,0,0.16635904769380647,-0.36896126247287175,0.36896126247287175,0.16635904769380647,0.8421052631578947,1.263157894736842,1.6842105263157894,35.540308675380096,9.725070007982097,2.8893323855120308,-2.375103965539239,2.8364238806512265,-2.460079740213884,6.653212334758468,0.2373438586922135,2.9115223693703705,1.802907459793631,516.4228624657378,13.533015715890102,9.347243524843527,13.882817200954259,8.775727571947288,6.249144789936065,8.51693162799143,6.306182474345147,9.581833664301062,5.923293583236559,10.21579330365118,5.298209213835473,8.43442226552978,1.44,38778.56643764397,12.932158223084155,3.2014111163459638,0.9859582678778774,139.9679980771587,4.736862953800049,9.748344582882218,4.33335411348544,0.0,0.0,0.0,0.0,0.0,0.0,23.20187978046503,46.40375956093006,30.09244580757158,0.0,22.2725054797238,4.736862953800049,69.60563934139509,0.0,0.0,23.671624184645573,32.710453094790275,0.0,10.064572704227194,0.0,0.0,0.0,0.0,0.0,69.60563934139509,26.28963147186426,4.736862953800049,23.671624184645573,6.4208216229260096,10.064572704227194,0.0,0.0,0.0,12.53,14.081698696367658,0.0,0.0,24.04374486781939,21.900384796549982,6.4208216229260096,0.0,0.0,0.0,0.0,74.34250229519515,4.346471403376166,39.5237745653817,-2.17162037037037,0.6422839506172853,0.0,0.7758024691358014,0.0,1.6332879818594104,0.0,0.0,0.8333333333333334,19,0,1,4,1,5,0,0,0,0,8,4,1,0,7,1,0,3,1,4,0,0,2.1790081628277096,5,4.481400000000002,77.57500000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,12,0,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isodrin,insecticide,C1[C@@H]2C=C[C@H]1[C@@H]3[C@H]2[C@@]4(C(=C([C@]3(C4(Cl)Cl)Cl)Cl)Cl)Cl,1,<rdkit.Chem.rdchem.Mol object at 0x15b646110>,6.761998456790122,6.761998456790122,0.06635802469135776,-1.3655246913580248,0.3118304581196564,58.77777777777778,364.9139999999999,356.8499999999999,361.875716336,98,0,0.16637947106595996,-0.10932991585549681,0.16637947106595996,0.10932991585549681,0.8333333333333334,1.2222222222222223,1.6111111111111112,35.540308479450225,9.752512084981033,2.8483537413512976,-2.3692951107166356,2.810577819171557,-2.4564693236029886,6.653218348957602,0.3053403489815749,2.9746967394496187,2.032344649126246,480.66067707067873,13.085421958697397,8.938995234379664,13.474568910490396,8.275727571947288,5.777740269145033,8.0455271072004,5.6257686569053735,8.901419846861291,5.1233562092276985,9.415855929642317,4.4780601699064375,7.61427322160075,1.22,20189.26677064456,12.922960575085408,3.339877471519769,0.9734449954580695,135.1706809689968,0.0,9.748344582882218,4.33335411348544,0.0,0.0,0.0,0.0,0.0,0.0,23.20187978046503,58.55579977459783,30.09244580757158,0.0,10.064572704227194,0.0,69.60563934139509,0.0,0.0,23.671624184645573,20.502520319293666,0.0,22.216612917894956,0.0,0.0,0.0,0.0,0.0,69.60563934139509,14.081698696367658,0.0,23.671624184645573,6.4208216229260096,22.216612917894956,0.0,0.0,0.0,0.0,14.081698696367658,0.0,0.0,11.835812092322787,21.900384796549982,6.4208216229260096,0.0,0.0,0.0,12.152040213667762,69.60563934139509,-1.3655246913580248,39.21124496094734,-2.128287037037037,0.6537654320987669,0.0,0.8151543209876535,0.0,5.396980347694634,0.0,0.0,0.6666666666666666,18,0,0,4,0,4,0,0,0,0,6,4,0,0,6,0,0,2,0,2,0,0,2.3978391605592173,4,5.270200000000001,78.05400000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lindane,insecticide,CNC(=O)OC1=CC=CC2=CC=CC=C21.C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,1,<rdkit.Chem.rdchem.Mol object at 0x15b646490>,11.091562263794406,11.091562263794406,0.43672839506172845,-0.45245086923658273,0.48197399750274134,30.185185185185187,492.0569999999999,474.9209999999998,488.93904486400004,148,0,0.4118597328988006,-0.4096970676079811,0.4118597328988006,0.4096970676079811,0.7777777777777778,1.2222222222222223,1.7037037037037037,35.50500229265778,9.972830708858853,2.464268325059907,-2.3728571264644076,2.3935239390647687,-2.5155783392680684,6.44768509563482,0.20327837759690048,2.6972508674652924,1.991111060656885e-07,712.5758629402783,20.13746372257519,14.089836918448228,18.62541059455896,12.772963365427639,7.993046982157668,10.611661664989576,5.78336262342111,8.807078407494929,3.9816633440027176,8.013120751604946,2.4893992993811103,4.816962318886769,-0.2899999999999992,846936.7723841019,22.99349504801821,10.47613834125222,5.6205389721136365,187.6771314408538,10.05365155780638,5.749511833283905,0.0,0.0,0.0,6.093240070938415,0.0,4.794537184071822,0.0,69.60563934139509,36.39820241076966,11.452591282926406,12.433896197141985,32.26252720923436,9.53140013787187,86.4713278412631,0.0,5.316788604006331,0.0,32.26252720923436,7.04767198267719,42.46456947923127,0.0,5.749511833283905,10.05365155780638,4.794537184071822,5.749511833283905,69.60563934139509,45.403439262849965,0.0,0.0,0.0,42.46456947923127,0.0,10.772448428929591,0.0,38.33,38.35576728017278,4.794537184071822,0.0,0.0,5.749511833283905,10.772448428929591,7.04767198267719,6.06636706846161,36.39820241076966,5.316788604006331,74.34250229519515,5.126759259259259,35.28703703703703,11.091562263794406,1.7850479497354481,0.0,0.5763425925925927,13.383852749433105,-0.45245086923658273,0.0,1.535182350718065,0.3888888888888889,27,1,3,1,0,1,1,2,0,2,0,0,2,1,9,0,1,1,0,1,0,0,8.921593891553208,3,6.202400000000003,116.87770000000002,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
methomyl,insecticide,CC(=NOC(=O)NC)SC,1,<rdkit.Chem.rdchem.Mol object at 0x15b770890>,10.382503779289493,10.382503779289493,0.5477777777777779,-0.5477777777777779,0.27108245929930574,10.9,162.214,152.134,162.04629856,58,0,0.43261343366141014,-0.32265780259105936,0.43261343366141014,0.32265780259105936,1.7,2.3,2.7,32.1664346897438,10.891554329380547,1.9413806038900887,-1.9457628604291417,1.9579802270937066,-2.1645442834098936,8.127968139176359,0.1532208902905333,1.988615511683862,3.608044380766722,146.58337707694835,7.983127663125442,6.171958466891548,6.988455047819274,4.701907262607799,2.676801709744692,3.9015465811362806,1.44317384553169,2.4422446122944708,0.7566451684664391,1.4220032440153507,0.1886444653969026,0.3004478642718921,-0.7100000000000001,147.1575478646058,9.29,5.104793271698562,4.196814348969283,63.99642000927801,5.316788604006331,5.043716986591482,0.0,0.0,0.0,6.093240070938415,4.8375885837366335,4.794537184071822,0.0,11.761884949391115,5.15571272675054,13.179506383202028,7.04767198267719,0.0,9.632125767808455,22.898842006921015,0.0,5.316788604006331,5.15571272675054,6.923737199690624,13.303441166188595,0.0,0.0,0.0,5.316788604006331,4.794537184071822,0.0,11.761884949391115,24.440398223718493,4.8375885837366335,0.0,6.923737199690624,5.15571272675054,0.0,0.0,0.0,50.69,6.093240070938415,4.794537184071822,0.0,0.0,5.043716986591482,0.0,18.809556932068304,6.923737199690624,6.255769183511404,15.310089914493503,0.0,0.0,1.4222467876039302,14.74342970521542,6.459555933484506,0.0,0.0,0.0,1.3054402872260014,1.7575462962962962,1.478447656840514,0.6,10,1,4,0,0,0,1,0,0,0,0,0,4,1,5,0,1,0,0,0,0,0,4.742352949407964,0,1.0388,42.16470000000002,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tebufenozide,insecticide,CCC1=CC=C(C=C1)C(=O)NN(C(=O)C2=CC(=CC(=C2)C)C)C(C)(C)C,1,<rdkit.Chem.rdchem.Mol object at 0x15b770820>,13.074418864398123,13.074418864398123,0.21960338456370176,-0.5617524486646517,0.8297150521472977,11.153846153846153,352.4780000000001,324.2540000000001,352.215078136,138,0,0.27230076774797696,-0.26742611107161585,0.27230076774797696,0.26742611107161585,0.9230769230769231,1.4615384615384615,1.9230769230769231,16.174228632379325,10.031553386212572,2.294148018309765,-2.3529139947153523,2.1785555867045345,-2.5546151284756853,5.992191341589644,0.035826209962287435,2.567302586602795,2.290346313235774,781.6322273628837,19.48276318419594,16.512268841941612,16.512268841941612,12.112410768570083,8.943146868108418,8.943146868108418,7.679175888908547,7.679175888908547,4.180270702519702,4.180270702519702,2.8082851680954795,2.8082851680954795,-2.6199999999999997,372248.6058470589,19.701408166163176,7.729476737667058,4.718858609761886,155.74079454366102,0.0,0.0,0.0,0.0,11.814359458703011,0.0,15.01486576525403,5.008912523954531,0.0,0.0,36.249741388469445,70.86842738692255,11.126902983393991,5.538925252383345,9.589074368143644,11.814359458703011,0.0,10.434703921064916,0.0,53.50217007345309,0.0,70.28182693771626,0.0,0.0,5.425791397110385,0.0,0.0,0.0,22.362197235040888,6.4208216229260096,13.847474399381248,65.10128062539111,42.46456947923127,0.0,0.0,0.0,49.410000000000004,5.538925252383345,9.589074368143644,0.0,11.814359458703011,11.126902983393991,17.54772460632,10.572364015651527,12.13273413692322,64.95052134076116,12.349528596801008,0.0,0.0,0.0,25.740444469084444,1.4139670729402871,6.5334682430844255,-0.5109894389854703,13.148183496626233,0.9178674873494289,11.67372533656732,0.0,0.36363636363636365,26,1,4,0,0,0,2,2,0,2,0,0,2,1,4,0,3,0,0,0,0,0,5.856983696909311,2,4.451540000000004,105.12470000000006,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
