"","y","type"
"Carbaryl","2","insecticide"
"Cypermethrine","2","insecticide"
"DDD(2-4)","2","insecticide"
"Dicofol","2","insecticide"
"Isodrin","3","insecticide"
"Lindane","2","insecticide"
"Methomyl","1","insecticide"
"Tebufenozide","2","insecticide"
"alphaEndosulfan","3","insecticide"
"betaEndosulfan","3","insecticide"
"1-chlorodecane","1","other"
"4-octylphenol","1","other"
"A736","4","other"
"Biphenyl","2","other"
"H40","2","other"
"L1000","1","other"
"PiperonylButoxide","5","other"
"Chlorothalonil","1","other pesticide"
"Pentachlorophenol","1","other pesticide"
"Quinoxyfen","2","other pesticide"
"Trifluralin","6","other pesticide"
"Anthracene","2","PAH"
"Benzo(a)pyrene","2","PAH"
"Ibuprofen","1","PPCP"
"Verapamil","5","PPCP"
"1-2Dichloroethane","1","solvent"
"124-Trichlorobenzene","1","solvent"
"Acetone","1","solvent"
"Acide Acrylique","1","solvent"
"Benzene","1","solvent"
"Nitric Acid","1","solvent"
"Tetrachloroethylene","1","solvent"
"Trichloroethylene","1","solvent"
