name;substance_type;CAS_nb;SMILES;detected;typol_class_tab_2
Carbaryl;insecticide;63-25-2;CNC(=O)OC1=CC=CC2=CC=CC=C21;1;1
Chlorpyrifos;insecticide;2921-88-2;CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl;1;3
Cypermethrine;insecticide;52315-07-8;CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C;1;4
DDD(2-4);insecticide;72-54-8;C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl;1;3
Dicofol;insecticide;115-32-2;C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)(C(Cl)(Cl)Cl)O)Cl;1;NA
Dieldrin;insecticide;60-57-1;C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@]5(C(=C([C@@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl;1;2
Isodrin;insecticide;465-73-6;C1[C@@H]2C=C[C@H]1[C@@H]3[C@H]2[C@@]4(C(=C([C@]3(C4(Cl)Cl)Cl)Cl)Cl)Cl;1;2
Lindane;insecticide;8065-09-6;CNC(=O)OC1=CC=CC2=CC=CC=C21.C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl;1;1
Methomyl;insecticide;16752-77-5;CC(=NOC(=O)NC)SC;1;NA
Tebufenozide;insecticide;112410-23-8;CCC1=CC=C(C=C1)C(=O)NN(C(=O)C2=CC(=CC(=C2)C)C)C(C)(C)C;1;NA
alphaEndosulfan;insecticide;959-98-8;C1[C@@H]2[C@H](COS(=O)O1)[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl;1;2
betaEndosulfan;insecticide;NA;[2H]C1([C@@H]2[C@@H]([C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)C(OS(=O)O1)([2H])[2H])[2H];1;2
Aluminium;metal;7429-90-5;[Al];1;NA
Cobalt;metal;7440-48-4;[Co];1;NA
Copper;metal;7440-50-8;[Cu];1;NA
Mercury;metal;7439-97-6;[Hg];1;NA
Zinc;metal;7733-02-0;[O-]S(=O)(=O)[O-].[Zn+2];1;NA
1-chlorodecane;other;1002-69-3;CCCCCCCCCCCl;1;NA
2A1;other;2749-11-3;C[C@@H](CO)N;1;NA
4-octylphenol;other;1806-26-4;CCCCCCCCC1=CC=C(C=C1)O;1;NA
A736;other;NA;CCN1C2=C3C=C(C=C2)C4=CSC(=N4)C[C@@H](C(=O)N5CCC[C@H](N5)C(=O)OCC(CC3=C1C6=C(N=CC=C6)[C@H](C)OC)(C)C)NC(=O)[C@H](C(C)C)N(C)C(=O)N7CCN([C@@H]8[C@H]7C8)C(=O)C=C;1;NA
Biphenyl;other;92-52-4;C1=CC=C(C=C1)C2=CC=CC=C2;1;1
H40;other;NA;C1=CC(=CC=C1NC(=O)CCS)SC2=CC(=NC(=C2)Br)NCCO;1;NA
L1000;other;64-17-5;CCO;1;NA
PiperonylButoxide;other;51-03-6;CCCCOCCOCCOCC1=CC2=C(C=C1CCC)OCO2;1;4
Soja;other;NA;NA;1;NA
Chlorothalonil;other pesticide;1897-45-6;C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl;1;1
Pentachlorophenol;other pesticide;87-86-5;C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O;1;1
Quinoxyfen;other pesticide;124495-18-7;C1=CC(=CC=C1OC2=C3C(=CC(=CC3=NC=C2)Cl)Cl)F;1;3
Trifluralin;other pesticide;1582-09-8;CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-];1;3
Anthracene;PAH;120-12-7;C1=CC=C2C=C3C=CC=CC3=CC2=C1;1;1
Benzo(a)pyrene;PAH;50-32-8;C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3;1;4
Ibuprofen;PPCP;15687-27-1;CC(C)CC1=CC=C(C=C1)C(C)C(=O)O;1;1
Verapamil;PPCP;52-53-9;CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC;1;NA
1-2Dichloroethane;solvent;107-06-2;C(CCl)Cl;1;NA
124-Trichlorobenzene;solvent;120-82-1;C1=CC(=C(C=C1Cl)Cl)Cl;1;NA
Acetone;solvent;67-64-1;CC(=O)C;1;NA
Acide Acrylique;solvent;79-10-7;C=CC(=O)O;1;NA
Benzene;solvent;71-43-2;C1=CC=CC=C1;1;NA
Hydrazine;solvent;302-01-2;NN;1;NA
Nitric Acid;solvent;7697-37-2;[N+](=O)(O)[O-];1;NA
Tetrachloroethylene;solvent;127-18-4;C(=C(Cl)Cl)(Cl)Cl;1;NA
Trichlorobenzene(123);solvent;87-61-6;C1=CC(=C(C(=C1)Cl)Cl)Cl;1;NA
Trichloroethylene;solvent;79-01-6;C(=C(Cl)Cl)Cl;1;NA
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
