"","bspline_1_1","bspline_2_1","bspline_3_1","bspline_4_1","bspline_5_1","bspline_6_1","bspline_7_1","bspline_8_1","bspline_9_1","bspline_1_2","bspline_2_2","bspline_3_2","bspline_4_2","bspline_5_2","bspline_6_2","bspline_7_2","bspline_8_2","bspline_9_2","bspline_1_3","bspline_2_3","bspline_3_3","bspline_4_3","bspline_5_3","bspline_6_3","bspline_7_3","bspline_8_3","bspline_9_3"
"1-2Dichloroethane",0.042859950206979,0.310416980887883,0.514033048766382,0.269480112960332,0.0432431614519545,0.119166320771748,-0.161778078245258,0.0231242212402489,-0.338246072263911,0.319171851112785,0.691449264719943,0.543240083536789,0.561443430722969,0.348070310727021,0.50458025640626,-0.0287324564446578,0.087622443651282,0.0469159404190385,0.150049445582541,-0.239516349454831,0.327802520537494,-0.311698492128032,-0.767715643951837,-0.787530033275143,-0.680812424675976,-0.770545782703064,-0.611039981644253
"1-chlorodecane",-0.0012663269082302,0.0212297344488871,-0.0143353313991194,0.0355292602886218,0.015667741559506,0.0116948308755646,0.0606068544011266,0.070957248573666,0.0206552934475203,0.00712506799058949,-0.00977619788024,-0.00201311704873594,0.148825965142675,0.0403903993236592,-0.0116773416755821,0.0405627615972552,0.148953361412198,0.0222860391832614,0,0,0,0,0,0,0,0,0
"124-Trichlorobenzene",0.011510792727695,0.0128482665425325,0.0275044208125438,0.015711864361267,0.0280358370676902,-0.0105425595556612,0.0114999636458914,0.0114221143180655,0.00284260740756263,-0.0146936592246825,0.478748631539411,0.16135289576427,0.0918613034032997,-0.0188321781223675,0.0513859424055285,0.00105066429759635,-0.00855080774348756,0.00415580923106407,0.0847817397678588,0.0135678546681241,-0.00652679368075991,0.00686784891380517,0.00720379693613946,-0.0341522235289635,0.132569521430906,0.020250378884764,0.100817682119042
"4-octylphenol",0.191932261457496,-0.285599292711028,0.468840362857609,-0.461324266669494,2.32348310921153,0.614176484957933,1.7872151736365,-0.477825081295552,0.949290566576122,0.00693782470451355,0.3079186364263,0.739378532384097,1.1375453321278,1.13880220113408,0.917011010407712,2.1218130351933,1.43671485569628,1.46394285491842,0.0663195405970607,-0.115656053496287,0.181565092131921,0.119775167264651,0.269533574069743,0.454727051048726,0.754861222277493,0.741362684299467,0.656515341204209
"A736",0.000126642711790382,-0.000204001813051058,0.000288170680860203,0.00146542134569099,0.000543539579830356,-0.000548398908298611,0.0014935253159083,-0.0168930498081808,0.000283824511736235,0.048967055876076,0.150572798169336,0.0261741189261544,-0.0263231347664854,0.0144714730798949,0.012535647522663,0.0111082940043962,-0.0106967754383099,0.00438704831904199,-0.00151437259243641,0,-0.00343237610634048,0,0,0,0.0215188361190909,-0.0123671179172658,0.0044809305783349
"Acetone",-0.103767717152899,0.243696428504648,-0.228607872009673,0.45952815124089,0.298283662700934,0.0379303268142035,0.193872491506862,-0.0359831218222183,0.0639831126331579,0.000814188710245463,0.000120706822821866,-0.00676890618059027,0.0293417766166466,0.0396911597089486,0.107608552269589,-0.0589175143758093,0.0556420367692804,-0.00651288311418872,-0.0158548049237448,0.0257658226102428,-0.03744030795809,0.043701629344802,-0.120702915922302,-0.0517367987070071,-0.0426854872836144,-0.120099243775571,0.0667071195019266
"Acide Acrylique",0.0027422744742782,0.0027082810279454,-0.0120392157689072,0.0174060477992288,-0.0417221222705022,0.00128362024442492,-0.0113667807464407,-0.0340108621759486,-0.056793886251437,-0.185644033177594,1.03429560804453,0.782049765891275,0.82678212930761,0.391554803389307,-0.205220918903982,0.232542881466527,-0.05864037116353,-0.156064299138031,-0.000929033991170465,0.00149793290919938,-0.00212244307531679,0.00230018977923107,-0.00432607165177656,0.00793742584085675,-0.0134205484204331,0.0195071936515422,0.017711328746732
"Anthracene",0.0168038689075457,0.0203822385144464,0.00550325685046225,0.031755516857197,0.0128406529388232,0.0517040004008455,0.011609127211547,-0.00520503471647535,0.0247493056012309,0.0315735647233191,0.004299369061236,0.399947021950084,0.192446160548036,0.396673210666034,0.000298278106432501,0.0539687433322266,0.0167704148075822,0.0170140738453586,0.0115970186253977,-0.0331972564909366,0.0949231698066454,-0.0220102336070159,0.0169561498323132,0.0341578191928359,0.0818012303467635,0.442470442486123,0.324282097010374
"Benzene",-0.00321004167440695,0.00511402683573894,-0.00696094123472051,0.0065793350942025,0.000965622976407269,0.00929865152013232,0.0102252732996541,0.0192412214867911,0.0124475314518444,0.0546834443405144,-0.0925355479806521,0.145042676056095,-0.13320225021546,-0.208625908548048,-0.37703885119297,-0.143765832838321,-0.14659231367049,-0.0995766098319836,0.00782330075580936,-0.00396889358299532,-0.0349869720726007,0.0426747364957088,-0.158554274535198,0.0879812253509221,-0.0599329843846971,0.0336377250439778,-0.0120739766699432
"Benzo(a)pyrene",0.00369784072907524,0.0098424174919944,0.0140720163353428,0.00718067090564909,0.00152854037354092,-0.00070407943340718,0.0123639701293299,0.00838192249635772,0.00263817744990228,0.0172317483332202,-0.0067593518979357,0.0209916145538321,-0.0219060743218169,0.0424620377612611,0.148207878707892,0.029882393703103,0.103350562450768,0.0488919459997777,-0.0372896450298066,0.0604197534044436,-0.0867294340624588,0.0950639819578204,0.327702331286066,-0.0569211985467141,0.0527243297971582,0.0045551261253619,-0.0054489881403663
