"","y","type"
"Carbaryl","1","insecticide"
"Cypermethrine","1","insecticide"
"DDD(2-4)","1","insecticide"
"Dicofol","1","insecticide"
"Isodrin","2","insecticide"
"Lindane","2","insecticide"
"Methomyl","1","insecticide"
"Tebufenozide","1","insecticide"
"alphaEndosulfan","2","insecticide"
"betaEndosulfan","2","insecticide"
"1-chlorodecane","1","other"
"4-octylphenol","1","other"
"A736","3","other"
"Biphenyl","4","other"
"H40","5","other"
"L1000","1","other"
"PiperonylButoxide","6","other"
"Chlorothalonil","1","other pesticide"
"Pentachlorophenol","1","other pesticide"
"Quinoxyfen","1","other pesticide"
"Trifluralin","5","other pesticide"
"Anthracene","4","PAH"
"Benzo(a)pyrene","4","PAH"
"Ibuprofen","1","PPCP"
"Verapamil","6","PPCP"
"1-2Dichloroethane","1","solvent"
"124-Trichlorobenzene","1","solvent"
"Acetone","1","solvent"
"Acide Acrylique","1","solvent"
"Benzene","1","solvent"
"Nitric Acid","1","solvent"
"Tetrachloroethylene","1","solvent"
"Trichloroethylene","1","solvent"
